zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
NH,19,7,0,0,0.017446426674723625,0.018887864249875538
NH,19,8,2,1,0.01658029295504093,0.01795016987700387
NH,20,1,4,0,0.03191625699400902,0.03440986690229526
NH,20,2,2,0,0.029227064922451973,0.03151056886511141
NH,20,3,3,0,0.02832099050283432,0.030533703056928752
NH,20,4,5,0,0.027518970891833305,0.029669021835921044
NH,20,5,4,1,0.024060077965259552,0.025939886390776757
NH,20,6,1,0,0.023615622892975807,0.02546070614466568
NH,20,7,0,0,0.018468130379915237,0.0199110412109542
NH,20,8,2,1,0.01680675521492958,0.01811986318175528
NH,21,1,4,0,0.03203121945261955,0.034358512017033105
NH,21,2,2,0,0.02958546206355095,0.03173505321405616
NH,21,3,3,0,0.028551669791340828,0.030626148688570085
NH,21,4,5,0,0.02730146236717701,0.02928510493372785
NH,21,5,4,1,0.024417316541075706,0.026191405701590956
NH,21,6,1,0,0.024187525734305382,0.02594491898236066
NH,21,7,0,0,0.01915108598768711,0.020542546593347685
NH,21,8,2,1,0.017014801502227783,0.018251046069178507
NH,22,1,4,0,0.031810857355594635,0.0339125199586548
NH,22,2,2,0,0.029559243470430374,0.03151214765915159
NH,22,3,3,0,0.0286201573908329,0.030511018545866526
NH,22,4,5,0,0.026783041656017303,0.02855252923742493
NH,22,5,4,1,0.024941498413681984,0.026589319907279703
NH,22,6,1,0,0.024135155603289604,0.0257297040740667
NH,22,7,0,0,0.01919103041291237,0.02045893308155625
NH,22,8,2,1,0.0171144250780344,0.018245131703049464
NH,23,1,4,0,0.03066333942115307,0.0324556768748561
NH,23,2,2,0,0.02879863604903221,0.030481977621758468
NH,23,3,3,0,0.02803954854607582,0.029678519838595475
NH,23,4,5,0,0.025969482958316803,0.027487454511258103
NH,23,5,4,1,0.025003178045153618,0.026464667019215564
NH,23,6,1,0,0.023259082809090614,0.024618625704433416
NH,23,7,0,0,0.018539540469646454,0.019623216070069394
NH,23,8,3,1,0.01699013262987137,0.017983242044265196
NH,24,1,4,0,0.028440771624445915,0.029866326745877452
NH,24,2,2,0,0.027109412476420403,0.028468235025438146
